cohort	sample_id	platform	primary_probe	il6r_primary	il6r_probe_mean	inferred_group
GSE17537	GSM437312	GPL570	226333_at	5.960591042	5.33518133933333	normal_or_adjacent
GSE17537	GSM437313	GPL570	226333_at	6.803604444	5.90269986733333	normal_or_adjacent
GSE17537	GSM437314	GPL570	226333_at	6.211166793	5.55845203266667	normal_or_adjacent
GSE17537	GSM437315	GPL570	226333_at	7.629351166	6.37766849933333	normal_or_adjacent
GSE17537	GSM437316	GPL570	226333_at	7.632026844	5.99449584066667	normal_or_adjacent
GSE17537	GSM437317	GPL570	226333_at	6.810478342	5.77604350766667	normal_or_adjacent
GSE17537	GSM437318	GPL570	226333_at	6.304523537	5.450383728	normal_or_adjacent
GSE17537	GSM437319	GPL570	226333_at	6.012215425	5.468520373	normal_or_adjacent
GSE17537	GSM437320	GPL570	226333_at	6.953980016	5.93721894466667	normal_or_adjacent
GSE17537	GSM437321	GPL570	226333_at	6.97459305	5.924890962	normal_or_adjacent
GSE17537	GSM437322	GPL570	226333_at	6.003031879	5.37949706266667	normal_or_adjacent
GSE17537	GSM437323	GPL570	226333_at	6.97724775	5.92999323333333	normal_or_adjacent
GSE17537	GSM437324	GPL570	226333_at	5.885731689	5.237227868	normal_or_adjacent
GSE14333	GSM358341	GPL570	217489_s_at	3.464724766	5.44899627133333	normal_or_adjacent
GSE14333	GSM358342	GPL570	217489_s_at	1.943077075	4.92340829033333	normal_or_adjacent
GSE14333	GSM358343	GPL570	217489_s_at	1.662141458	4.87771363633333	normal_or_adjacent
GSE14333	GSM358344	GPL570	217489_s_at	3.155156335	5.20808807566667	normal_or_adjacent
GSE14333	GSM358345	GPL570	217489_s_at	3.946439513	5.667222452	normal_or_adjacent
GSE14333	GSM358346	GPL570	217489_s_at	2.740679524	4.46807630766667	normal_or_adjacent
GSE14333	GSM358347	GPL570	217489_s_at	3.443027333	5.62318925066667	normal_or_adjacent
GSE14333	GSM358348	GPL570	217489_s_at	2.207169428	4.71872013966667	normal_or_adjacent
GSE14333	GSM358349	GPL570	217489_s_at	4.598157094	5.912884666	normal_or_adjacent
GSE14333	GSM358350	GPL570	217489_s_at	1.61725298	4.49726809533333	normal_or_adjacent
GSE14333	GSM358351	GPL570	217489_s_at	3.731674509	5.74106161633333	normal_or_adjacent
GSE14333	GSM358352	GPL570	217489_s_at	3.347789881	5.73598460566667	normal_or_adjacent
GSE14333	GSM358353	GPL570	217489_s_at	1.518152019	4.65733182666667	normal_or_adjacent
GSE14333	GSM358354	GPL570	217489_s_at	1.756108288	4.752905331	normal_or_adjacent
GSE14333	GSM358355	GPL570	217489_s_at	4.456302867	5.52368078133333	normal_or_adjacent
GSE14333	GSM358356	GPL570	217489_s_at	1.671499998	4.35563719066667	normal_or_adjacent
GSE14333	GSM358357	GPL570	217489_s_at	2.058828933	4.249744617	normal_or_adjacent
GSE14333	GSM358358	GPL570	217489_s_at	1.618894117	4.99570159466667	normal_or_adjacent
GSE14333	GSM358359	GPL570	217489_s_at	4.610204352	6.32845450466667	normal_or_adjacent
GSE14333	GSM358360	GPL570	217489_s_at	3.875627407	6.024296405	normal_or_adjacent
GSE14333	GSM358361	GPL570	217489_s_at	3.386242181	5.283308732	normal_or_adjacent
GSE14333	GSM358362	GPL570	217489_s_at	1.983783411	4.66500005666667	normal_or_adjacent
GSE14333	GSM358363	GPL570	217489_s_at	4.655957861	5.41845131433333	normal_or_adjacent
GSE14333	GSM358364	GPL570	217489_s_at	1.474663807	5.002776834	normal_or_adjacent
GSE14333	GSM358365	GPL570	217489_s_at	3.306968608	6.324846213	normal_or_adjacent
GSE14333	GSM358366	GPL570	217489_s_at	4.281235375	6.04471405166667	normal_or_adjacent
GSE14333	GSM358367	GPL570	217489_s_at	4.83529942	6.272565897	normal_or_adjacent
GSE14333	GSM358368	GPL570	217489_s_at	2.919237271	5.582863019	normal_or_adjacent
GSE14333	GSM358369	GPL570	217489_s_at	3.002179341	5.279060597	normal_or_adjacent
GSE14333	GSM358370	GPL570	217489_s_at	3.829795947	5.66506081833333	normal_or_adjacent
GSE14333	GSM358371	GPL570	217489_s_at	4.435225052	6.12707006233333	normal_or_adjacent
GSE14333	GSM358372	GPL570	217489_s_at	4.26433646	5.50969939666667	normal_or_adjacent
GSE14333	GSM358373	GPL570	217489_s_at	4.374705487	5.608880375	normal_or_adjacent
GSE14333	GSM358374	GPL570	217489_s_at	4.848130292	6.311820986	normal_or_adjacent
GSE14333	GSM358375	GPL570	217489_s_at	1.968372679	4.132566779	normal_or_adjacent
GSE14333	GSM358376	GPL570	217489_s_at	2.560883424	4.83619383266667	normal_or_adjacent
GSE14333	GSM358377	GPL570	217489_s_at	2.500182962	4.546815828	normal_or_adjacent
GSE14333	GSM358378	GPL570	217489_s_at	3.155552945	5.262053137	normal_or_adjacent
GSE14333	GSM358379	GPL570	217489_s_at	2.466020983	5.150352772	normal_or_adjacent
GSE14333	GSM358380	GPL570	217489_s_at	2.451977125	4.94017196166667	normal_or_adjacent
GSE14333	GSM358381	GPL570	217489_s_at	3.027186088	5.831927278	normal_or_adjacent
GSE14333	GSM358382	GPL570	217489_s_at	1.72477551	4.80212216333333	normal_or_adjacent
GSE14333	GSM358383	GPL570	217489_s_at	4.232986989	5.70040418866667	normal_or_adjacent
GSE14333	GSM358384	GPL570	217489_s_at	3.659755243	5.721532646	normal_or_adjacent
GSE14333	GSM358385	GPL570	217489_s_at	3.591070407	5.608216836	normal_or_adjacent
GSE14333	GSM358386	GPL570	217489_s_at	4.208694965	5.72735562866667	normal_or_adjacent
GSE14333	GSM358387	GPL570	217489_s_at	2.400610153	5.27460161166667	normal_or_adjacent
GSE14333	GSM358388	GPL570	217489_s_at	0.796674379	3.97710632433333	normal_or_adjacent
GSE14333	GSM358389	GPL570	217489_s_at	2.677680586	5.36531357133333	normal_or_adjacent
GSE14333	GSM358390	GPL570	217489_s_at	2.421795565	4.86544835633333	normal_or_adjacent
GSE14333	GSM358391	GPL570	217489_s_at	2.254776483	5.35576917666667	normal_or_adjacent
GSE14333	GSM358392	GPL570	217489_s_at	2.161676021	5.284959843	normal_or_adjacent
GSE14333	GSM358393	GPL570	217489_s_at	2.559859342	4.548475355	normal_or_adjacent
GSE14333	GSM358394	GPL570	217489_s_at	2.040198805	4.793398962	normal_or_adjacent
GSE14333	GSM358395	GPL570	217489_s_at	2.152085344	5.20602098433333	normal_or_adjacent
GSE14333	GSM358396	GPL570	217489_s_at	1.580430597	4.48173332133333	normal_or_adjacent
GSE14333	GSM358397	GPL570	217489_s_at	0.936207773	3.50735463333333	normal_or_adjacent
GSE14333	GSM358398	GPL570	217489_s_at	2.144986505	5.04609200933333	normal_or_adjacent
GSE14333	GSM358399	GPL570	217489_s_at	1.09640643	4.61933411766667	normal_or_adjacent
GSE14333	GSM358400	GPL570	217489_s_at	4.509054027	5.74708489566667	normal_or_adjacent
GSE14333	GSM358401	GPL570	217489_s_at	2.443006145	4.01530631533333	normal_or_adjacent
GSE14333	GSM358402	GPL570	217489_s_at	2.471044121	4.089614193	normal_or_adjacent
GSE14333	GSM358403	GPL570	217489_s_at	2.707070196	5.14772978866667	normal_or_adjacent
GSE14333	GSM358404	GPL570	217489_s_at	3.582992983	5.432713956	normal_or_adjacent
GSE14333	GSM358405	GPL570	217489_s_at	1.598059899	5.05059232066667	normal_or_adjacent
GSE14333	GSM358406	GPL570	217489_s_at	1.893083088	4.80016181066667	normal_or_adjacent
GSE14333	GSM358407	GPL570	217489_s_at	3.115746887	4.40479534466667	normal_or_adjacent
GSE14333	GSM358408	GPL570	217489_s_at	3.29008991	5.582765689	normal_or_adjacent
GSE14333	GSM358409	GPL570	217489_s_at	4.610725454	6.15456006366667	normal_or_adjacent
